route_long_name,route_short_name,agency_id,route_type,route_id
,EC,1,2,64
,EC,11,2,54
,EC,2,2,28
,EC,4,2,27
,EC,7,2,13
,EC,8,2,65
,EC 27,1,2,58
,EC 27,5,2,29
,EC 43,5,2,88
,EC 43,8,2,5
,EC 62,4,2,30
,EC 62,5,2,37
,EC 75,11,2,23
,EC 75,5,2,71
,EC 85,5,2,89
,EC 89,5,2,81
,EC 95,13,2,76
,EC 95,5,2,49
,EC 96,13,2,1
,EC 96,5,2,94
,ECE 85,5,2,95
,ECE 88,5,2,72
,EN,1,2,50
,EN,12,2,2
,EN,13,2,14
,EN,2,2,66
,EN,4,2,6
,IC,10,2,19
,IC,11,2,82
,IC,13,2,55
,IC,3,2,20
,IC,4,2,90
,IC,8,2,67
,IC,9,2,51
,IC 17,5,2,24
,IC 24,5,2,38
,IC 26,5,2,15
,IC 27,5,2,16
,IC 29,5,2,3
,IC 32,5,2,60
,IC 34,5,2,25
,IC 35,5,2,91
,IC 39,5,2,73
,IC 51,5,2,77
,IC 55,5,2,26
,IC 56,5,2,39
,IC 57,5,2,61
,IC 6,8,2,21
,IC 61,5,2,52
,IC 62,5,2,74
,IC 76,11,2,4
,IC 77,5,2,78
,IC 87,5,2,56
,ICE,10,2,85
,ICE,4,2,9
,ICE,8,2,83
,ICE 10,5,2,96
,ICE 11,5,2,86
,ICE 12,5,2,22
,ICE 13,5,2,57
,ICE 15,5,2,40
,ICE 16,5,2,97
,ICE 17,5,2,10
,ICE 18,5,2,35
,ICE 19,5,2,47
,ICE 20,5,2,79
,ICE 21,5,2,59
,ICE 22,5,2,11
,ICE 24,5,2,31
,ICE 25,5,2,32
,ICE 26,5,2,43
,ICE 27,5,2,44
,ICE 28,5,2,69
,ICE 29,5,2,70
,ICE 32,5,2,62
,ICE 39,5,2,12
,ICE 4,5,2,18
,ICE 41,5,2,92
,ICE 42,5,2,63
,ICE 43,5,2,84
,ICE 45,5,2,33
,ICE 47,5,2,48
,ICE 49,5,2,93
,ICE 50,5,2,75
,ICE 60,5,2,87
,ICE 62,5,2,34
,ICE 78,5,2,7
,ICE 79,5,2,53
,ICE 8,5,2,45
,ICE 82,5,2,46
,ICE 82,6,2,41
,ICE 83,5,2,17
,ICE 83,6,2,68
,ICE 89,5,2,80
,ICE 91,5,2,42
,RJ,1,2,8
,RJ,4,2,36
