stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type
's-Hertogenbosch,,27766,51.69054,5.293723,1
's-Hertogenbosch,27766,332717,51.69054,5.293723,
Aachen Hbf,226989,115198,50.7678,6.091499,
Aachen Süd(Gr),,165306,50.731915,6.04541,1
Aachen Süd(Gr),165306,274109,50.731915,6.04541,
"Aachen, Hauptbahnhof",,226989,50.767723,6.092051,1
Aalen Hauptbahnhof,,196806,48.841602,10.096031,1
Aalen Hbf,196806,324866,48.84168,10.09613,
Altena(Westf),420165,455900,51.301956,7.668576,
Altena(Westf),420165,508406,51.302013,7.668693,
"Altena, Bahnhof",,420165,51.301983,7.66881,1
Altenbeken,,101578,51.766434,8.943322,1
Altenbeken,101578,122753,51.766296,8.94298,
Amersfoort Centraal,,366082,52.153465,5.373909,1
Amersfoort Centraal,366082,387091,52.153465,5.373909,
Amsterdam Centraal,,639447,52.37919,4.899431,1
Amsterdam Centraal,639447,45626,52.37919,4.899431,
Amstetten NÖ,,349853,48.121605,14.878112,1
Amstetten NÖ,349853,373664,48.121605,14.878112,
Andernach,526393,329477,50.434544,7.404839,
Andernach Bahnhof,,526393,50.434544,7.40484,1
Angermünde,595600,224112,53.015793,13.995908,
Angermünde,595600,391,53.01574,13.995672,
"Angermünde, Bahnhof",,595600,53.015823,13.995871,1
Anklam,,161818,53.855984,13.701563,1
Anklam,161818,218328,53.8563,13.701554,
Anklam,161818,253325,53.85625,13.701518,
Ansbach,,268953,49.29803,10.578246,1
Ansbach,268953,371446,49.29889,10.577582,
Ansbach Bahnhof,268953,257436,49.299046,10.578031,
Ansbach Bahnhof,268953,267180,49.299145,10.578166,
Ansbach Bahnhof,268953,662802,49.299004,10.578067,
Apeldoorn,,290251,52.20943,5.968491,1
Apeldoorn,290251,183287,52.20943,5.968491,
Apolda,,153278,51.03094,11.526136,1
Apolda,153278,163580,51.03094,11.526136,
Arnhem Centraal,,616794,51.98478,5.901003,1
Arnhem Centraal,616794,393252,51.98478,5.901003,
Aschaffenburg Hbf,,574065,49.980556,9.1437,1
Aschaffenburg Hbf,574065,296369,49.980797,9.14343,
Aschaffenburg Hbf,574065,379789,49.98065,9.14343,
Attnang-Puchheim,,381061,48.012802,13.720719,1
Attnang-Puchheim,381061,341272,48.012802,13.720719,
Augsburg Hbf,,40685,48.36544,10.885569,1
Augsburg Hbf,40685,13902,48.365437,10.885291,
Augsburg Hbf,40685,226458,48.36546,10.885353,
Augsburg Hbf,40685,293857,48.3656,10.885713,
Augsburg Hbf,40685,390577,48.365673,10.885892,
Augsburg Hbf,40685,481437,48.365532,10.885533,
Augsburg Hbf,40685,670121,48.36544,10.88557,
Augustfehn,,114727,53.220894,7.759622,1
Augustfehn,114727,539383,53.220844,7.75963,
Bad Bentheim,365708,431287,52.309853,7.157776,
Bad Bentheim,365708,480805,52.30978,7.157785,
Bad Bentheim Bahnhof,,365708,52.30953,7.158737,1
Bad Bentheim(Gr),,106876,52.3091,7.04016,1
Bad Bentheim(Gr),106876,328546,52.3091,7.04016,
Bad Bevensen,,112564,53.078247,10.574141,1
Bad Bevensen,112564,569241,53.07822,10.574081,
Bad Bevensen,112564,63955,53.078274,10.574201,
Bad Endorf,,144636,47.904766,12.302122,1
Bad Endorf,144636,71762,47.90459,12.302679,
"Bad Endorf, Bahnhof",144636,151994,47.904682,12.302545,
Bad Gastein,,9152,47.111774,13.131945,1
Bad Gastein,9152,537599,47.111774,13.131945,
