route_id,service_id,trip_id
1,33,1044230
1,33,403925
1,33,825650
1,340,1436951
1,340,346371
1,340,974639
1,93,1261290
1,93,1441411
1,93,1525658
10,16,237400
10,16,270334
10,174,1023349
10,174,1330027
10,212,623258
10,260,1131563
10,293,685479
10,299,1041756
10,299,1088896
10,299,1329865
10,310,155937
10,310,22804
10,396,1158797
10,396,225440
10,580,1038513
10,931,170800
10,934,1246552
11,119,240278
11,119,244357
11,119,372323
11,120,957697
11,139,236225
11,15,913507
11,16,523953
11,166,347007
11,166,494678
11,166,573075
11,171,287802
11,259,1436511
11,267,537742
11,289,856273
11,292,449859
11,292,73340
11,299,190845
11,308,1428193
11,308,755845
11,343,1136024
11,343,1196655
11,343,1560746
11,343,689868
11,356,565497
11,382,1010541
11,402,1120810
11,424,360538
11,434,1279364
11,439,946775
11,454,105555
11,462,1412115
11,467,438009
11,467,73706
11,471,203883
11,475,1388765
11,513,730529
11,582,658720
11,598,1505297
11,6,1069808
11,640,678162
11,643,1448414
11,645,931182
11,705,400832
11,707,320814
11,72,532311
11,804,1118729
11,804,1146630
11,804,135140
11,804,237678
11,815,21726
11,825,886433
11,850,133336
11,850,133922
11,897,1437685
11,927,668192
11,927,899724
11,930,699889
11,94,1396677
12,113,1032773
12,113,44180
12,120,982517
12,140,763514
12,146,1301083
12,166,1381361
12,175,956614
12,181,840419
12,20,1442883
12,22,1129981
12,234,715292
12,236,1466397
12,236,406435
12,253,115690
12,280,131898
12,292,138800
12,292,369916
12,292,772894
12,299,25877
12,299,539469
12,304,391478
12,330,1502324
12,378,1039145
12,396,763542
12,404,1318917
12,41,1289329
12,41,914700
12,444,1030569
12,455,1005507
12,457,1294035
12,513,172907
12,56,1139769
12,671,109011
12,704,721620
12,713,1177718
12,713,887439
12,716,1018808
12,736,693419
12,739,660720
12,740,1204067
12,740,334605
12,740,834853
12,78,61907
12,78,831748
12,782,1135528
12,823,124866
12,831,1223636
12,834,1100826
12,834,761630
12,838,134545
12,838,773836
12,847,660969
12,847,919276
12,867,766210
12,886,885654
12,90,1095462
12,903,575927
12,903,700664
12,907,567392
12,93,1065163
12,93,1464898
12,93,1489031
12,93,71787
12,930,1348159
12,934,846148
12,934,908039
12,94,1110351
13,117,1469279
13,406,985683
14,515,1306572
14,585,816583
15,16,314154
15,293,447073
15,471,38453
15,501,317731
15,505,1310921
15,528,55759
15,713,467303
15,742,1539955
15,742,35535
15,796,1168007
15,796,1304405
15,804,1407421
15,829,1277418
15,829,934732
15,852,1463765
15,852,229762
15,862,1435353
15,884,637098
15,930,336749
16,133,833933
16,292,469868
16,299,1336862
16,307,594241
16,373,373970
16,396,570879
16,462,1194004
16,474,471401
16,48,24542
16,515,655178
16,70,822024
16,845,1001958
16,845,1029966
16,845,1226623
16,845,1257979
16,845,1290752
16,845,1442530
16,845,225632
16,845,977433
17,247,188862
17,247,615310
17,31,830900
17,427,1243535
17,462,1405868
17,733,1321076
17,733,955928
17,77,1056668
17,804,115095
17,804,52816
17,878,73454
17,903,206754
17,94,450367
18,113,214212
18,153,960734
18,226,882203
18,242,611653
18,928,564483
19,124,907372
19,132,1550567
19,132,357132
19,16,1101455
19,16,1163362
19,16,1511774
19,16,368690
19,16,509369
19,174,1249608
19,174,238697
19,174,569389
19,196,642784
19,261,90332
19,29,868298
19,304,1216810
19,310,912441
19,378,530775
19,387,1168178
19,395,332284
19,409,1563303
19,409,790123
19,457,1155641
19,469,1384360
19,469,519396
19,521,399016
19,535,1084390
19,535,1190186
19,540,1276745
19,541,193913
19,563,195966
19,576,1396114
19,589,1087047
19,589,294843
19,589,573725
19,589,765382
19,589,797726
19,608,478018
19,615,1086767
19,659,985176
19,699,342720
19,699,579202
19,699,813175
19,70,767414
19,703,1244735
19,703,442774
19,713,893303
19,752,998444
19,78,4112
19,801,329091
19,818,558840
19,855,1382903
19,88,677495
19,97,1387423
2,420,689183
2,678,1358352
2,758,4283
20,16,1205101
20,16,1490192
20,16,772471
20,166,723932
20,236,1301522
20,26,673972
20,293,1479529
20,402,469021
20,455,1145743
20,455,707434
20,455,865676
20,467,947379
20,515,415699
20,527,1002077
20,527,1367195
20,579,642002
20,585,1375986
20,589,486567
20,605,1015099
20,649,156373
20,654,82962
20,70,1282693
20,70,950804
20,708,136812
20,720,808605
20,738,1442650
20,792,698424
20,816,732915
20,834,1534890
20,844,103889
20,847,844568
20,852,556178
20,852,756928
20,894,799964
20,93,1446260
21,16,860973
21,358,1214425
21,402,589401
21,467,1033122
21,468,665839
21,549,794259
21,70,593630
21,813,1521679
22,104,1281169
22,107,1417678
22,113,101281
22,120,1034506
22,137,1139584
22,142,643236
22,16,1436341
22,16,1438630
22,16,1521984
22,16,238906
22,16,339203
22,16,575078
22,16,896756
22,166,1121898
22,166,283309
22,166,578193
22,166,843782
22,188,324284
22,188,385417
22,206,959521
22,207,1133350
22,210,57372
22,213,623176
22,214,370665
22,239,1225679
22,24,1301708
22,253,1248802
22,269,1356959
22,272,448076
22,273,576235
22,282,987445
22,286,1278380
22,287,548766
22,292,1555514
22,292,623941
22,294,895888
22,295,1393797
22,299,1179190
22,299,250091
22,299,305064
22,299,458097
22,299,738385
22,301,205461
22,303,1145379
22,304,1374249
22,304,1487460
22,304,197724
22,349,26416
22,360,74574
22,369,22740
22,375,1563116
22,378,1477394
22,389,1356803
22,396,1345183
22,402,595728
22,415,1280356
22,415,1458747
22,42,114291
22,450,483818
22,451,1433660
22,458,68626
22,462,303174
22,462,424223
22,462,739709
22,462,97089
22,467,365231
22,467,651995
22,467,711492
22,470,1087765
22,475,1275873
22,475,1551951
22,475,473407
22,475,702665
22,494,134237
22,513,1092384
22,513,245817
22,513,497273
22,513,918985
22,517,1448200
22,560,1280605
22,565,956417
22,567,452925
22,576,1044193
22,58,173206
22,589,1048870
22,589,578885
22,589,639857
22,589,741362
22,589,941640
22,592,1553797
22,603,1338813
22,613,275811
22,619,1056717
22,626,85498
22,67,1531092
22,677,316466
22,70,1379746
22,713,1315513
22,713,1381508
22,713,1549808
22,717,1042902
22,72,1489035
22,72,573146
22,725,245305
22,740,1317385
22,740,149387
22,742,1089948
22,742,345186
22,742,922285
22,752,1526053
22,756,910083
22,769,1034927
22,769,1389251
22,769,772886
22,776,1026727
22,776,1484288
22,776,1495240
22,776,175983
22,776,365615
22,776,445980
22,776,460978
22,776,536171
22,776,575829
22,776,743409
22,776,752045
22,776,796379
22,776,995428
22,78,1209463
22,787,1184949
22,789,755298
22,839,815712
22,844,1476445
22,844,735921
22,852,457026
22,853,720283
22,856,1020703
22,869,70285
22,870,1310955
22,874,110199
22,882,91359
22,885,1179266
22,886,1103728
22,886,555593
22,913,915239
22,916,417061
22,930,1220508
22,930,26557
22,930,361781
22,930,974046
22,931,499259
22,931,973292
22,934,737427
22,934,803825
22,934,834921
22,94,62253
22,94,672911
22,94,746883
22,94,831413
23,133,935789
23,349,1387385
23,742,1361941
23,742,1473382
23,790,1026866
23,790,70708
23,790,718807
23,790,959956
24,102,1304590
24,120,592002
24,16,1151096
24,16,1206225
24,16,259382
24,16,934870
24,170,617985
24,218,487790
24,238,835429
24,241,1258135
24,292,1324699
24,299,7738
24,302,951422
24,305,986965
24,335,629458
24,373,1443125
24,373,1520184
24,373,508976
24,373,639635
24,391,761307
24,391,935920
24,396,574008
24,402,138395
24,46,1100106
24,46,218060
24,464,493637
24,467,1211840
24,467,469928
24,524,1260292
24,528,92568
24,572,627102
24,601,282193
24,641,1365755
24,641,683754
24,720,1205258
24,720,448500
24,721,1498434
24,733,717001
24,775,1400907
24,775,1529549
24,833,1438635
24,885,1286028
24,885,326398
24,885,650434
24,885,667077
24,886,1351879
24,903,175014
24,903,953987
24,907,595558
24,907,638320
24,911,160583
24,924,1163191
24,93,731061
24,930,1530370
24,930,410327
24,934,26582
24,96,989577
25,113,106847
25,113,1554161
25,113,290905
25,113,368462
25,113,597054
25,113,729777
25,113,98294
25,134,1277
25,134,698901
25,391,1444443
25,391,588299
25,391,607459
25,391,763376
25,48,166181
25,579,140777
25,713,596900
25,806,1007268
25,907,131210
25,907,1473006
25,907,1549283
25,907,616031
25,907,744463
25,907,934470
25,912,126548
25,93,681645
25,93,751870
26,103,36594
26,120,1515652
26,129,606126
26,131,1042313
26,134,1424735
26,134,894329
26,134,933505
26,154,1357077
26,162,491639
26,162,777014
26,189,107782
26,227,341852
26,230,276203
26,236,241852
26,243,612391
26,246,1035509
26,246,1397433
26,246,1456768
26,246,635133
26,246,664829
26,253,1315334
26,253,1317812
26,253,1407503
26,255,303279
26,255,965102
26,272,614128
26,292,150205
26,293,559633
26,299,307266
26,299,331977
26,299,369475
26,299,466951
26,32,1449143
26,334,475780
26,341,999044
26,343,1026094
26,343,1136578
26,343,1271283
26,343,266549
26,343,293949
26,343,400322
26,35,30496
26,356,463107
26,377,893094
26,384,573593
26,388,530354
26,391,257836
26,396,1017701
26,396,725629
26,396,735228
26,396,908510
26,399,1032984
26,404,592578
26,409,256704
26,41,328163
26,41,745161
26,420,725349
26,439,434519
26,440,1105921
26,445,320249
26,45,1163029
26,45,1172086
26,45,1257826
26,45,1311449
26,45,172341
26,457,115081
26,462,652691
26,462,834821
26,480,1084475
26,480,1469648
26,480,1484832
26,480,1502146
26,480,193222
26,480,269324
26,480,500679
26,480,65383
26,480,856623
26,481,78010
26,485,672419
26,525,142728
26,528,912453
26,532,1325801
26,544,577702
26,552,1344621
26,552,266933
26,552,287747
26,552,7946
26,57,270682
26,589,110799
26,589,1467401
26,624,714599
26,664,213457
